Month,Day,WeekDay,Hour,Minute,Occupancy
3,6,1,2,42,Empty
3,6,1,2,53,Occupied
2,23,4,15,13,Empty
2,23,4,15,19,Empty
1,23,1,0,28,Empty
1,23,1,0,39,Occupied
1,23,1,1,17,Empty
1,23,1,1,28,Occupied
1,23,1,1,56,Occupied
1,23,1,2,3,Empty
2,27,1,16,36,Empty
2,27,1,16,54,Empty
3,4,6,10,3,Empty
2,16,4,13,16,Empty
2,13,1,16,38,Empty
2,13,1,17,51,Empty
1,23,1,6,7,Empty
1,23,1,7,27,Empty
1,23,1,7,40,Empty
3,3,5,5,15,Empty
3,3,5,6,10,Empty
1,23,1,13,6,Occupied
1,23,1,13,17,Occupied
1,14,6,17,11,Empty
1,14,6,17,41,Empty
1,20,5,9,13,Empty
1,20,5,11,29,Empty
2,16,4,12,23,Occupied
1,15,0,7,29,Empty
1,15,0,7,48,Empty
3,3,5,15,58,Empty
3,1,3,8,18,Empty
3,1,3,9,0,Empty
3,1,3,9,18,Empty
2,7,2,13,14,Occupied
2,13,1,13,50,Empty
3,1,3,7,53,Empty
2,28,2,3,2,Empty
2,6,1,20,9,Occupied
2,6,1,20,15,Empty
2,6,1,23,32,Occupied
2,6,1,23,37,Occupied
2,6,1,21,19,Empty
2,6,1,22,35,Empty
2,7,2,0,20,Empty
2,7,2,1,3,Empty
3,15,3,16,33,Empty
1,30,1,14,30,Occupied
1,30,1,14,36,Empty
3,4,6,16,13,Empty
3,4,6,16,47,Occupied
3,4,6,16,58,Empty
2,9,4,21,57,Occupied
3,5,0,23,3,Occupied
2,28,2,8,42,Empty
2,28,2,8,48,Empty
2,23,4,18,40,Empty
2,23,4,19,48,Occupied
2,23,4,21,17,Occupied
2,23,4,21,52,Empty
1,26,4,12,56,Empty
2,14,2,5,41,Empty
2,14,2,7,12,Empty
2,14,2,7,43,Empty
2,14,2,7,49,Empty
2,14,2,8,30,Empty
3,1,3,10,43,Empty
3,15,3,13,9,Occupied
2,23,4,23,54,Occupied
2,9,4,12,27,Occupied
2,9,4,12,43,Occupied
2,9,4,12,49,Empty
3,5,0,20,29,Empty
3,5,0,21,3,Empty
3,5,0,21,14,Occupied
3,5,0,21,31,Empty
3,5,0,22,0,Occupied
1,22,0,14,41,Occupied
1,22,0,15,8,Empty
1,22,0,15,32,Empty
2,7,2,17,18,Empty
2,7,2,18,18,Empty
1,23,1,23,23,Empty
1,23,1,23,49,Occupied
1,24,2,1,7,Empty
1,24,2,3,2,Empty
1,6,5,8,10,Empty
1,6,5,8,29,Empty
1,6,5,8,41,Empty
1,6,5,9,41,Empty
3,16,4,6,35,Empty
3,16,4,6,59,Empty
3,4,6,22,41,Empty
3,4,6,23,28,Occupied
3,4,6,23,33,Occupied
3,5,0,0,37,Occupied
3,5,0,0,49,Empty
3,5,0,1,44,Empty
2,11,6,12,22,Occupied
2,11,6,12,11,Empty
2,11,6,13,43,Occupied
2,11,6,13,48,Occupied
2,11,6,13,54,Occupied
1,14,6,18,33,Empty
1,14,6,18,39,Empty
1,14,6,19,4,Empty
1,14,6,19,40,Empty
3,4,6,6,49,Empty
3,4,6,7,20,Empty
3,4,6,7,26,Empty
1,14,6,23,14,Empty
1,14,6,23,20,Empty
1,14,6,23,58,Empty
1,21,6,17,54,Occupied
1,21,6,19,56,Occupied
1,21,6,20,22,Occupied
1,21,6,20,32,Occupied
2,16,4,15,22,Empty
2,16,4,16,17,Empty
2,16,4,17,55,Empty
2,16,4,18,45,Empty
1,20,5,11,41,Empty
1,20,5,13,16,Empty
1,20,5,13,40,Empty
1,20,5,14,9,Empty
1,20,5,14,21,Empty
2,14,2,7,6,Empty
2,14,2,8,7,Empty
1,12,4,19,32,Empty
1,12,4,20,39,Occupied
1,12,4,21,43,Occupied
1,12,4,22,10,Occupied
1,5,4,13,21,Empty
1,5,4,14,30,Empty
1,5,4,14,42,Empty
3,1,3,9,55,Empty
2,27,1,22,59,Empty
2,28,2,0,8,Empty
2,28,2,0,20,Occupied
2,28,2,2,4,Empty
1,6,5,15,53,Empty
1,6,5,16,5,Empty
1,6,5,18,43,Empty
1,6,5,19,26,Empty
1,6,5,19,32,Empty
2,8,3,4,54,Empty
2,10,5,17,36,Occupied
2,10,5,18,14,Occupied
1,29,0,23,40,Empty
2,16,4,2,6,Empty
2,16,4,3,20,Empty
2,16,4,4,9,Empty
3,3,5,15,47,Empty
3,3,5,16,20,Empty
3,3,5,17,0,Empty
3,15,3,14,33,Empty
3,5,0,12,37,Empty
2,16,4,8,52,Empty
2,24,5,18,0,Empty
2,24,5,18,12,Empty
2,24,5,18,25,Empty
2,24,5,18,46,Empty
2,24,5,19,24,Occupied
2,24,5,19,45,Occupied
2,24,5,20,7,Occupied
2,24,5,20,51,Occupied
2,24,5,21,41,Occupied
2,22,3,21,33,Empty
2,22,3,22,20,Occupied
2,22,3,22,26,Empty
2,22,3,23,11,Empty
2,23,4,0,46,Empty
1,22,0,12,54,Occupied
1,22,0,13,23,Empty
1,22,0,14,25,Occupied
2,11,6,13,3,Empty
2,11,6,13,38,Occupied
1,5,4,11,30,Empty
1,5,4,12,30,Empty
1,5,4,12,53,Occupied
2,10,5,23,4,Occupied
2,11,6,13,26,Occupied
2,11,6,14,58,Empty
1,24,2,0,1,Occupied
3,2,4,8,16,Empty
2,27,1,19,8,Empty
2,27,1,20,28,Empty
2,27,1,21,23,Empty
2,11,6,9,46,Empty
2,11,6,10,10,Empty
1,12,4,21,32,Occupied
1,12,4,22,43,Occupied
1,12,4,23,19,Occupied
3,16,4,1,18,Empty
3,16,4,1,55,Empty
2,28,2,13,45,Empty
2,28,2,13,57,Empty
1,23,1,10,0,Empty
1,23,1,11,1,Empty
1,23,1,11,25,Empty
1,28,6,19,17,Empty
1,28,6,19,23,Empty
1,28,6,20,34,Occupied
1,28,6,20,57,Occupied
1,28,6,22,38,Empty
1,28,6,23,5,Occupied
2,11,6,8,34,Empty
1,6,5,9,29,Empty
1,6,5,10,56,Empty
1,6,5,11,26,Empty
1,6,5,13,15,Empty
1,6,5,13,22,Empty
2,22,3,17,31,Occupied
2,22,3,18,14,Occupied
2,22,3,20,18,Empty
2,22,3,20,29,Occupied
1,29,0,2,49,Empty
1,29,0,2,56,Empty
1,29,0,4,34,Empty
1,29,0,5,2,Empty
2,13,1,19,31,Occupied
2,13,1,20,14,Occupied
2,13,1,20,40,Occupied
2,13,1,20,51,Empty
2,13,1,22,41,Occupied
2,6,1,20,20,Occupied
2,6,1,21,42,Occupied
2,6,1,23,4,Empty
2,7,2,0,14,Empty
2,7,2,0,57,Empty
2,7,2,1,36,Empty
3,6,1,10,38,Empty
2,27,1,14,13,Empty
2,27,1,14,31,Empty
2,27,1,15,6,Occupied
2,27,1,15,12,Empty
2,13,1,15,41,Empty
2,13,1,16,56,Empty
1,27,5,2,4,Empty
2,6,1,18,59,Occupied
2,6,1,21,0,Empty
3,6,1,12,40,Empty
3,3,5,14,8,Empty
3,3,5,14,29,Empty
3,3,5,16,33,Empty
3,3,5,18,29,Occupied
3,3,5,18,40,Occupied
2,15,3,6,41,Empty
2,11,6,12,57,Empty
2,11,6,14,45,Empty
2,11,6,15,51,Occupied
3,16,4,0,12,Occupied
3,16,4,0,30,Empty
3,16,4,2,37,Empty
1,21,6,9,16,Empty
1,21,6,11,24,Empty
1,30,1,8,34,Empty
2,14,2,13,13,Occupied
2,14,2,13,43,Empty
2,14,2,14,1,Empty
2,14,2,14,25,Empty
2,14,2,14,44,Empty
2,14,2,14,56,Empty
2,14,2,16,8,Empty
2,22,3,16,52,Empty
2,22,3,17,15,Occupied
3,1,3,22,12,Empty
3,1,3,22,18,Empty
3,6,1,5,7,Empty
3,6,1,4,31,Empty
2,7,2,2,20,Empty
2,7,2,4,11,Empty
1,20,5,7,48,Empty
1,20,5,10,1,Empty
2,17,5,8,27,Empty
2,17,5,9,22,Empty
2,17,5,9,52,Empty
2,6,1,18,13,Occupied
2,6,1,18,54,Occupied
1,27,5,14,47,Empty
1,27,5,15,11,Empty
1,27,5,15,41,Empty
1,27,5,18,24,Occupied
1,27,5,18,36,Occupied
2,16,4,6,7,Empty
2,16,4,6,50,Empty
1,22,0,8,46,Empty
3,2,4,12,2,Empty
3,2,4,6,27,Empty
3,2,4,7,28,Empty
3,2,4,8,28,Empty
3,4,6,15,11,Occupied
3,4,6,16,19,Empty
1,24,2,0,24,Empty
1,28,6,16,9,Empty
1,19,4,11,24,Occupied
2,28,2,18,31,Empty
2,28,2,18,55,Empty
2,28,2,19,6,Occupied
2,28,2,20,34,Empty
2,28,2,21,7,Empty
2,28,2,21,13,Empty
2,28,2,21,35,Occupied
2,16,4,14,22,Empty
2,16,4,16,11,Empty
2,24,5,19,30,Occupied
2,24,5,20,28,Occupied
2,24,5,21,7,Occupied
2,24,5,21,13,Empty
2,24,5,22,5,Empty
1,30,1,0,5,Empty
1,6,5,19,19,Empty
1,6,5,19,55,Empty
1,6,5,20,35,Empty
1,6,5,23,48,Empty
1,6,5,23,53,Occupied
1,7,6,0,54,Empty
1,7,6,1,26,Empty
1,6,5,16,48,Empty
1,6,5,18,1,Empty
1,6,5,20,24,Empty
1,6,5,20,29,Occupied
1,6,5,20,41,Empty
1,6,5,20,48,Empty
1,6,5,22,7,Occupied
1,30,1,6,34,Empty
1,30,1,7,51,Empty
1,13,5,9,13,Empty
1,13,5,11,38,Occupied
1,12,4,10,6,Occupied
1,12,4,10,12,Empty
1,12,4,10,54,Empty
1,14,6,8,14,Empty
1,14,6,10,27,Empty
1,14,6,10,34,Empty
2,8,3,10,35,Empty
2,23,4,23,12,Empty
2,24,5,12,12,Occupied
2,24,5,12,45,Empty
2,24,5,13,15,Empty
1,20,5,12,37,Occupied
1,20,5,13,4,Occupied
1,20,5,14,15,Empty
1,20,5,14,49,Occupied
3,4,6,9,3,Empty
3,4,6,9,33,Empty
3,4,6,9,45,Empty
1,23,1,3,34,Empty
1,23,1,3,44,Empty
1,23,1,5,2,Empty
3,5,0,8,44,Empty
3,5,0,9,2,Empty
2,11,6,14,10,Empty
2,11,6,14,27,Empty
2,11,6,16,12,Occupied
2,11,6,16,52,Occupied
1,5,4,13,37,Occupied
1,5,4,13,42,Occupied
1,5,4,13,48,Empty
1,5,4,14,5,Empty
3,5,0,13,29,Occupied
3,5,0,13,40,Occupied
3,5,0,14,52,Occupied
2,15,3,6,2,Empty
2,15,3,6,33,Empty
2,15,3,6,54,Empty
2,15,3,7,0,Empty
2,15,3,7,19,Empty
2,15,3,7,37,Empty
3,6,1,16,40,Occupied
1,30,1,10,23,Empty
3,16,4,5,21,Empty
2,7,2,19,5,Empty
2,7,2,20,17,Occupied
2,14,2,9,49,Empty
2,14,2,10,7,Empty
2,24,5,18,19,Empty
2,24,5,19,19,Empty
2,24,5,20,2,Occupied
2,24,5,20,17,Occupied
2,24,5,20,33,Occupied
2,24,5,21,30,Occupied
2,24,5,21,36,Empty
2,24,5,21,59,Empty
2,24,5,22,33,Empty
1,30,1,1,51,Empty
1,30,1,2,34,Empty
