Temperature,Humidity,Light,Outlook,Outside_UV,Outside_Temp,Outside_Humidity,Month,Day,WeekDay,Hour,Occupancy
12,68,2,4,0,2.2,98,2,17,6,4,1
9,66,0,6,0,3.6,94,3,2,5,23,0
9,65,0,1,0,2.5,94,3,3,6,2,0
9,65,0,1,0,2.3,94,3,3,6,3,0
9,65,0,1,0,2.3,94,3,3,6,3,0
9,60,0,5,0,3.1,57,2,6,2,16,0
9,67,2,5,0,1.9,70,2,6,2,19,1
9,68,2,5,0,1.9,71,2,6,2,19,1
14,77,0,1,0,10.5,97,1,29,1,15,0
14,77,0,1,1,10.3,97,1,29,1,15,0
12,75,2,6,0,7.9,99,1,30,2,19,1
11,66,0,5,0,5.7,75,2,13,2,17,0
11,65,0,0,0,4,74,2,13,2,19,1
11,66,0,0,0,3,91,2,16,5,3,0
12,74,2,4,0,6.8,84,1,13,6,0,1
11,74,2,4,0,6.7,86,1,13,6,0,0
12,73,2,4,0,6.5,83,1,13,6,0,0
11,73,2,4,0,6.3,85,1,13,6,1,0
11,72,0,1,0,5.9,84,1,13,6,2,0
9,62,0,1,0,-0.6,93,3,2,5,18,0
9,62,0,1,0,-0.6,93,3,2,5,18,0
6,54,1,1,1,-3.5,78,3,1,4,11,0
14,69,0,5,0,3,96,1,27,6,0,0
14,66,0,5,0,3.2,95,1,27,6,2,0
10,57,2,0,0,1.5,67,2,24,6,21,1
10,60,2,0,0,1.3,68,2,24,6,21,1
6,57,2,7,1,-3.6,90,3,1,4,13,1
7,56,1,7,1,-3.5,91,3,1,4,14,0
7,57,1,7,1,-3.7,93,3,1,4,14,0
7,57,1,7,1,-3.7,93,3,1,4,14,0
7,57,1,7,1,-3.7,93,3,1,4,15,0
10,69,1,1,1,7.2,89,2,8,4,14,0
10,70,1,1,1,6.9,92,2,8,4,15,0
10,70,0,1,0,7.6,85,2,8,4,16,0
10,70,0,1,0,7.6,85,2,8,4,16,0
11,67,2,0,1,4.3,77,2,9,5,10,1
12,69,0,6,0,5.7,85,1,20,6,2,0
12,69,0,6,0,5.5,92,1,20,6,3,0
12,69,0,6,0,5.3,94,1,20,6,3,0
11,70,0,6,0,5.3,95,1,20,6,4,0
12,76,0,1,0,9.8,99,1,21,7,15,0
11,76,0,1,0,9.8,99,1,21,7,15,0
12,76,0,1,0,10.2,99,1,21,7,16,0
14,74,0,0,0,5.3,97,1,29,1,21,1
14,74,0,0,0,5.2,97,1,29,1,21,0
14,74,0,0,0,5,97,1,29,1,21,0
9,66,0,1,0,2.7,96,3,3,6,5,0
9,66,0,1,0,2.6,96,3,3,6,5,0
9,67,0,4,0,2.6,96,3,3,6,6,0
14,80,0,0,0,2,78,1,7,7,21,0
14,76,2,1,0,10.3,98,1,27,6,22,0
14,76,0,5,0,10.1,97,1,28,7,2,0
13,75,2,5,0,9.6,98,1,28,7,3,1
11,67,0,0,0,1.3,96,2,16,5,7,0
12,68,0,0,0,3.6,87,1,19,5,19,0
12,69,0,0,0,3.6,87,1,19,5,19,0
12,69,0,0,0,3.6,87,1,19,5,19,0
12,70,0,0,0,3.6,87,1,19,5,20,0
12,70,0,5,0,4.2,88,1,19,5,22,0
7,56,2,7,1,-3.5,91,3,1,4,14,0
7,57,0,7,1,-3.6,93,3,1,4,15,0
7,57,0,7,0,-3.5,93,3,1,4,16,0
7,57,0,7,0,-3.5,93,3,1,4,16,0
7,60,0,7,0,-3.3,95,3,1,4,17,0
14,74,0,1,0,8.2,95,3,15,4,20,0
11,71,2,1,0,7.4,84,2,8,4,21,0
11,70,0,1,0,7.4,84,2,8,4,22,1
11,71,2,6,0,6.7,96,2,9,5,0,0
11,70,0,6,0,6.8,97,2,9,5,1,0
11,70,0,6,0,6.8,97,2,9,5,1,0
11,70,0,6,0,6.8,96,2,9,5,1,0
11,70,0,6,0,6.8,97,2,9,5,2,0
9,51,0,0,0,-5.5,88,2,28,3,3,0
8,50,0,0,0,-5.7,90,2,28,3,4,0
8,48,0,5,0,-5.9,91,2,28,3,5,0
8,47,0,5,0,-5.7,91,2,28,3,5,0
10,64,2,5,1,6.3,63,2,9,5,16,1
10,64,0,5,1,6.3,63,2,9,5,16,1
10,63,0,5,1,5.9,65,2,9,5,16,0
10,63,0,0,0,5.1,68,2,9,5,16,0
10,65,2,0,0,3.8,72,2,9,5,18,1
10,67,2,0,0,3.5,73,2,9,5,18,0
10,68,2,0,0,3.2,74,2,9,5,18,1
10,68,2,0,0,2.7,77,2,9,5,19,0
10,57,2,0,1,8.5,53,2,12,1,13,1
8,51,0,5,1,-5.1,87,2,28,3,8,0
11,72,0,1,0,6.4,84,1,13,6,7,0
10,57,0,5,0,-0.6,95,2,8,4,5,0
10,57,0,5,0,-0.5,95,2,8,4,6,0
10,62,0,5,0,-0.5,97,2,8,4,7,0
10,68,2,4,2,7.6,79,2,8,4,11,1
6,54,0,1,1,-3.8,79,3,1,4,9,0
6,54,0,4,1,-3.6,78,3,1,4,11,0
6,53,1,1,1,-3.5,78,3,1,4,11,0
6,55,2,7,1,-3.3,85,3,1,4,12,1
12,70,0,6,1,5.8,96,3,5,1,16,0
8,51,0,5,2,-2.1,62,2,28,3,10,0
8,51,1,5,2,-1.7,62,2,28,3,10,0
14,73,2,5,2,10.9,83,3,15,4,11,0
12,67,0,0,1,4.7,77,2,11,7,9,0
12,67,1,0,1,4.9,76,2,11,7,9,0
8,66,2,7,0,-1.6,91,3,1,4,21,1
8,65,2,7,0,-1.2,90,3,1,4,22,0
9,63,2,7,0,-1,90,3,1,4,22,0
9,63,2,7,0,-0.9,90,3,1,4,23,0
12,73,0,4,0,8.6,96,2,15,4,5,0
11,61,0,0,0,0.6,81,2,7,3,23,0
14,79,0,1,0,10.3,95,1,28,7,20,0
11,67,0,5,0,0.9,99,2,17,6,7,1
12,62,0,0,1,7.4,60,2,11,7,13,1
11,60,1,5,1,6,58,2,11,7,14,0
11,59,1,5,1,6.5,59,2,11,7,15,0
11,68,0,1,0,6.1,78,2,13,2,1,1
13,68,0,1,0,5.8,85,2,13,2,4,1
13,71,0,4,0,8.9,78,1,22,1,18,1
13,72,0,4,0,8.7,82,1,22,1,19,1
13,75,2,4,0,7.7,86,1,22,1,21,1
13,75,2,4,0,7.9,87,1,22,1,21,1
11,68,0,5,0,3.6,85,2,9,5,7,0
13,65,0,4,1,6.4,86,2,10,6,9,0
13,67,1,6,1,7,93,2,10,6,10,0
8,52,1,4,2,-1,49,2,28,3,11,0
8,52,2,4,2,-0.8,51,2,28,3,11,0
11,67,0,0,0,1.3,96,2,16,5,7,0
14,74,0,0,0,5.7,97,1,29,1,21,1
14,75,0,0,0,4.6,96,1,29,1,22,0
13,74,0,6,0,9.5,99,1,23,2,7,0
12,68,0,2,1,3.6,99,3,6,2,7,0
10,76,0,4,0,7.5,93,1,12,5,16,0
10,76,0,4,0,7.4,92,1,12,5,16,0
10,76,0,4,0,7.2,92,1,12,5,17,0
10,76,0,4,0,6.9,91,1,12,5,17,0
10,76,0,4,0,6.7,90,1,12,5,18,0
10,76,2,4,0,6.7,91,1,12,5,18,1
11,74,0,1,0,6.9,88,1,13,6,16,0
10,65,2,5,1,7.4,60,2,9,5,14,0
10,65,1,5,1,7.1,57,2,9,5,15,0
13,71,0,4,0,8.8,80,1,22,1,18,1
13,71,0,4,0,8.7,80,1,22,1,18,1
13,75,2,4,0,7.9,87,1,22,1,21,1
13,73,0,5,0,8.8,89,1,23,2,0,0
13,70,2,5,0,6,97,3,5,1,22,1
13,70,2,5,0,6,97,3,5,1,22,1
14,68,0,4,0,5.1,91,1,27,6,4,0
14,68,0,4,0,5.1,90,1,27,6,5,0
11,66,2,0,0,3.4,75,2,13,2,20,0
11,66,2,0,0,3.3,76,2,13,2,20,1
13,72,1,5,1,9.3,70,1,26,5,14,1
13,74,0,5,0,10.2,95,2,10,6,23,0
13,74,0,5,0,10.2,95,2,10,6,23,1
13,73,0,5,0,9.9,94,2,11,7,0,0
13,69,0,0,0,7.5,80,2,11,7,1,1
13,69,0,0,0,7.1,79,2,11,7,2,0
9,63,0,1,0,-0.8,92,3,2,5,16,1
14,77,0,1,1,10.9,93,1,29,1,14,0
12,73,0,1,1,6.7,97,1,20,6,9,0
10,75,2,6,0,7.7,98,2,14,3,19,0
11,76,2,6,0,7.9,99,2,14,3,19,1
11,75,2,1,0,8.3,99,2,14,3,20,0
11,75,2,4,0,8.6,99,2,14,3,21,1
14,73,1,5,2,9.6,91,3,15,4,9,0
11,72,2,1,0,7.3,85,2,8,4,18,1
11,74,2,1,0,7.3,85,2,8,4,19,0
11,70,2,1,0,7.3,83,2,8,4,20,1
11,71,2,1,0,7.4,85,2,8,4,21,1
12,74,0,1,1,8.3,96,1,20,6,12,1
12,75,0,1,1,8.8,96,1,20,6,14,1
12,76,1,1,1,9.6,95,1,20,6,15,1
10,64,2,0,2,3.7,63,2,23,5,12,1
13,72,0,6,0,7.3,96,3,15,4,0,0
11,69,0,4,0,3.8,87,2,9,5,6,0
13,77,0,4,1,10.7,96,1,28,7,15,0
12,70,0,5,1,5.4,98,3,5,1,8,0
10,64,1,0,1,7.1,58,2,9,5,15,0
10,64,0,5,1,6.1,65,2,9,5,16,0
10,63,0,0,0,4.4,71,2,9,5,17,0
6,54,0,1,1,-3.9,79,3,1,4,9,0
13,70,0,1,0,5.5,89,1,26,5,21,1
8,52,2,0,0,-5.5,89,2,28,3,1,0
8,51,2,0,0,-5.5,89,2,28,3,1,0
8,51,2,0,0,-5.6,89,2,28,3,1,1
9,53,2,0,0,-5.7,88,2,28,3,2,1
9,53,2,0,0,-5.6,88,2,28,3,2,0
13,68,1,1,2,5.6,98,3,6,2,9,0
14,77,0,0,0,6.6,96,1,29,1,20,1
14,77,0,0,0,6.4,96,1,29,1,20,0
14,74,0,0,0,5.5,97,1,29,1,21,1
14,75,0,0,0,4.8,96,1,29,1,22,1
14,73,0,0,0,4.2,96,1,29,1,22,0
13,73,0,5,1,9.6,79,3,14,3,16,0
11,71,0,1,0,7,97,2,9,5,2,0
11,72,0,1,0,5.8,84,1,13,6,5,0
14,70,1,6,1,8.6,95,1,27,6,11,0
13,70,0,1,1,8.6,96,1,27,6,11,0
13,70,0,1,1,8.5,97,1,27,6,11,0
13,71,0,6,1,8.6,98,1,27,6,13,0
13,72,0,6,1,8.9,98,1,27,6,13,0
11,72,0,1,0,7.2,84,1,13,6,9,0
11,74,1,4,1,7.4,86,1,13,6,10,0
11,74,2,4,2,8,84,1,13,6,11,1
12,80,0,4,1,10.9,95,1,15,1,11,0
12,80,2,4,1,10.9,95,1,15,1,11,0
12,83,1,4,1,11.4,90,1,15,1,12,1
12,83,2,4,1,11.4,93,1,15,1,13,0
12,81,1,4,1,10.9,89,1,15,1,14,0
13,79,1,5,1,10.9,81,1,15,1,15,0
7,38,0,1,0,-3.8,64,3,1,4,0,0
7,38,0,1,0,-3.8,65,3,1,4,1,1
7,38,0,1,0,-3.9,64,3,1,4,1,0
10,65,2,5,1,7.5,64,2,12,1,16,0
10,64,0,5,0,5.2,78,2,12,1,17,0
11,75,2,6,0,8,99,2,14,3,20,1
11,75,2,6,0,8.1,99,2,14,3,20,0
11,75,2,1,0,8.2,99,2,14,3,20,1
12,62,0,0,1,7.3,58,2,11,7,14,1
6,28,0,1,0,-3.9,64,3,1,4,3,0
8,50,0,0,1,-4.8,84,2,28,3,8,0
14,75,0,0,0,4.8,96,1,29,1,22,0
14,75,0,0,0,4.7,96,1,29,1,22,0
14,74,0,0,0,4.3,96,1,29,1,22,0
13,72,0,0,1,7.6,87,2,15,4,8,0
12,70,2,0,2,9.2,79,1,30,2,12,0
12,70,2,5,2,9.2,80,1,30,2,13,0
12,70,2,5,1,9.1,78,1,30,2,13,0
12,71,2,5,1,9.5,80,1,30,2,13,0
12,70,2,5,1,9.2,80,1,30,2,13,1
12,71,2,4,1,8.8,81,1,30,2,14,0
12,70,0,5,1,6.1,97,3,5,1,8,0
12,70,0,4,1,6.2,97,3,5,1,9,0
12,69,1,5,2,6.3,97,3,5,1,9,0
12,70,0,4,2,6.4,97,3,5,1,9,0
12,70,1,4,2,6.6,96,3,5,1,9,0
13,69,2,4,2,7,94,3,5,1,10,0
13,68,1,4,2,7.1,93,3,5,1,10,0
8,55,2,0,0,-1.6,73,2,27,2,19,0
8,56,2,0,0,-2.1,79,2,27,2,19,0
8,56,0,0,0,-3.6,84,2,27,2,21,0
8,55,0,0,0,-4,84,2,27,2,21,0
13,69,2,5,0,4.8,95,3,6,2,2,1
12,69,0,5,0,4.8,96,3,6,2,3,0
12,68,0,5,0,0,99,1,30,2,6,0
12,67,0,5,0,-0.2,99,1,30,2,6,0
14,74,2,5,2,10.8,84,3,15,4,13,0
14,78,2,0,0,4.5,65,1,7,7,16,0
14,77,2,0,0,3.7,68,1,7,7,18,0
15,76,2,0,0,3,71,1,7,7,19,0
14,78,2,0,0,2.1,75,1,7,7,21,0
14,84,0,5,0,1.8,80,1,7,7,22,0
14,84,0,5,0,1.8,80,1,7,7,22,0
11,74,0,6,0,8.9,97,1,15,1,6,0
11,76,0,1,0,9.4,98,1,15,1,7,0
13,70,0,6,1,7.5,96,2,10,6,12,0
12,75,0,6,1,7.8,97,2,10,6,14,0
12,75,0,6,1,7.8,97,2,10,6,14,0
13,76,0,5,0,9.2,88,1,15,1,16,0
12,76,0,5,0,7.9,83,1,15,1,17,0
12,74,2,5,0,7.3,86,1,15,1,19,0
12,74,2,5,0,7.2,87,1,15,1,19,1
12,76,0,4,0,9.9,88,1,20,6,17,0
12,76,2,4,0,9.2,91,1,20,6,19,1
14,72,2,4,0,7.9,96,3,16,5,1,0
13,72,2,5,0,7.9,94,3,16,5,2,0
13,72,2,5,0,7.9,94,3,16,5,3,0
13,72,2,5,0,7.9,94,3,16,5,3,0
13,87,0,5,1,2.6,96,1,6,6,9,1
16,76,2,4,1,4.2,90,1,6,6,12,0
9,61,0,0,0,0.3,77,2,7,3,7,0
9,60,0,0,0,0.2,77,2,7,3,8,0
11,68,1,5,2,8.1,89,3,4,7,10,0
11,68,1,5,2,8.4,87,3,4,7,10,0
10,70,2,5,0,3.9,98,3,3,6,19,0
10,70,0,4,0,3.7,98,3,3,6,19,0
11,69,2,4,0,3,98,3,3,6,20,1
11,69,0,1,0,2.6,99,3,3,6,21,1
11,70,2,1,0,2.5,99,3,3,6,21,1
13,68,0,5,0,6,89,1,27,6,6,0
13,68,0,5,0,6.3,88,1,27,6,6,0
14,68,0,5,0,4.1,93,1,27,6,3,0
14,68,0,5,0,5,90,1,27,6,3,0
14,68,0,5,0,5.1,90,1,27,6,3,0
14,67,0,4,0,5.5,90,1,27,6,5,0
8,52,0,4,2,-0.7,50,2,28,3,12,0
9,68,0,1,0,2.8,96,3,3,6,7,0
9,68,0,6,1,3.1,96,3,3,6,8,0
11,67,0,0,1,0.9,97,2,16,5,8,0
11,67,0,0,1,2.7,94,2,16,5,8,0
11,67,1,0,1,5.1,85,2,16,5,9,0
11,67,1,0,1,7.1,80,2,16,5,10,0
11,67,1,0,1,7.3,78,2,16,5,10,1
11,68,2,0,2,8.4,70,2,16,5,10,0
13,74,0,4,2,8.9,95,3,16,5,8,0
14,74,0,4,2,9,94,3,16,5,9,0
9,58,0,5,0,-0.1,79,2,7,3,6,0
9,58,0,0,0,0.2,77,2,7,3,6,0
9,61,0,0,0,0.3,77,2,7,3,7,0
9,61,0,0,1,0.1,76,2,7,3,8,0
9,61,0,0,1,0.2,74,2,7,3,8,0
10,70,0,5,0,3.8,97,3,3,6,19,0
11,68,2,2,0,2.8,99,3,3,6,22,1
11,68,2,2,0,3,99,3,3,6,23,1
14,76,1,6,1,10.2,97,1,29,1,15,0
14,77,2,6,1,10.2,97,1,29,1,15,0
12,68,0,5,0,5.2,97,3,5,1,4,0
14,80,0,4,0,10.5,96,1,23,2,20,1
15,79,0,4,0,10.5,96,1,23,2,21,1
15,79,0,1,0,10.7,95,1,23,2,21,1
15,81,0,1,0,10.9,92,1,23,2,22,1
10,69,2,1,2,7.1,88,2,8,4,12,1
17,74,2,5,1,9.4,60,1,5,5,12,1
14,79,0,5,1,8.8,75,1,5,5,14,0
14,80,0,5,1,8.3,76,1,5,5,15,0
14,79,0,5,0,7.4,77,1,5,5,15,0
14,79,0,6,0,6.5,90,1,5,5,16,0
10,64,2,5,2,2.5,67,2,23,5,10,1
13,73,3,4,1,10.5,81,3,15,4,15,0
13,73,1,4,1,10.6,85,3,15,4,16,0
14,74,2,1,0,8,97,3,15,4,21,1
12,75,2,5,0,7.3,88,1,15,1,19,1
12,75,2,5,0,7.4,86,1,15,1,19,1
12,76,2,5,0,7.5,88,1,15,1,19,0
12,76,2,5,0,7.5,90,1,15,1,20,0
13,76,2,4,0,7.7,88,1,15,1,20,0
13,75,2,5,0,7.5,86,1,15,1,22,0
13,75,2,5,0,7.3,84,1,15,1,23,0
13,73,0,5,1,9.7,79,3,14,3,16,0
14,75,2,5,1,10.6,75,1,22,1,13,0
13,75,2,5,1,10.8,74,1,22,1,13,0
14,73,2,5,1,9.6,75,1,22,1,15,1
9,68,2,6,2,4.4,89,3,3,6,10,0
9,68,2,6,2,4.6,89,3,3,6,10,0
9,68,2,1,2,4.7,89,3,3,6,11,0
9,68,1,1,2,4.7,90,3,3,6,11,0
9,66,1,5,1,4.3,54,2,6,2,14,1
13,68,0,1,0,5.6,86,2,13,2,5,1
13,68,0,1,0,5.6,86,2,13,2,6,1
9,65,2,1,0,3.4,95,3,2,5,23,0
9,65,2,4,0,3.5,94,3,2,5,23,0
9,65,2,6,0,3.5,94,3,2,5,23,0
9,65,0,6,0,3.9,90,3,3,6,0,0
14,73,2,5,2,11.6,82,3,15,4,11,0
14,76,0,1,1,11.2,99,1,23,2,10,0
14,76,0,1,1,11.3,98,1,23,2,11,0
14,76,0,1,1,11.3,98,1,23,2,11,0
10,71,0,6,0,6.5,98,2,14,3,16,0
10,71,2,6,0,7,98,2,14,3,17,1
13,68,1,4,2,7.2,93,3,5,1,10,0
13,68,1,4,2,7.1,93,3,5,1,11,0
14,76,0,1,1,11.3,98,1,23,2,12,0
14,77,0,1,1,11.4,98,1,23,2,12,0
10,62,0,4,0,-0.2,96,2,14,3,4,0
12,69,0,0,0,3.6,87,1,19,5,20,0
13,69,0,0,0,1.4,99,1,30,2,2,0
13,67,0,0,0,0.2,99,1,30,2,5,0
9,54,0,0,0,-1.6,81,2,24,6,5,0
9,54,0,0,0,-1.7,82,2,24,6,5,1
9,54,2,0,0,-1.7,82,2,24,6,5,0
9,55,0,0,0,-1.9,83,2,24,6,6,0
14,76,0,1,0,9.8,94,1,28,7,23,0
14,75,0,1,0,9.8,93,1,29,1,0,0
14,75,0,1,0,9.8,94,1,29,1,0,0
14,75,0,1,0,9.8,94,1,29,1,0,0
14,75,0,1,0,9.6,96,1,29,1,1,0
14,75,0,1,0,9.8,93,1,29,1,2,0
14,73,2,1,0,8,96,3,15,4,22,0
13,73,0,1,0,9.5,94,1,23,2,4,0
